Rank,Name,SpecScore,rating,price,tag,sim,processor,storage,battery,display,camera,memoryExternal,version,fm,RAM_GB,Storage_GB,Battery_mAh,Screen_inches,FrontCamera_MP,BackCamera_MP,Processor_Speed_GHz,Processor_Name,Processor_Name_Cleaned,ProcessorScore,img,Closest_Launched,Launched_SpecScore,ScoreDifference
11,Oppo Find X9 Pro 5G,80,4.55,69990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9500, Octa Core Processor","12 GB RAM, 256 GB inbuilt",6500 mAh Battery with 120W Fast Charging,"6.82 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole",50 MP Quad Rear & 50 MP Front Camera,,Android v15,No FM Radio,12.0,256.0,6500.0,6.82,50.0,50.0,,Dimensity 9500,Dimensity 9500,0.5278,https://cdn1.smartprix.com/rx-iFW0VY8hZ-w280-h280/oppo-find-x9-pro-5g.webp,Realme GT 7T (12GB RAM + 256GB),80,0
12,Oneplus 14 Pro,80,4.15,89990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite 2, Octa Core Processor","12 GB RAM, 256 GB inbuilt",6500 mAh Battery with 120W Fast Charging,"6.84 inches, 1440 x 3168 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Memory Card Not Supported,Android v16,,12.0,256.0,6500.0,6.84,50.0,150.0,,Snapdragon 8 Elite 2,Snapdragon 8 Elite 2,0.1944,https://cdn1.smartprix.com/rx-ih0MtdymS-w280-h280/oneplus-14-pro.webp,Realme GT 7T (12GB RAM + 256GB),80,0
13,Vivo V26 Pro,80,4.6,42990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 9000 Plus, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",4800 mAh Battery with 100W Fast Charging,"6.7 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",200 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,,Android v13,No FM Radio,12.0,256.0,4800.0,6.7,32.0,210.0,3.2,Dimensity 9000 Plus,Dimensity 9000 Plus,0.6111,https://cdn1.smartprix.com/rx-iTdUYaGUW-w280-h280/vivo-v26-pro.webp,Realme GT 7T (12GB RAM + 256GB),80,0
14,Vivo X300,80,4.5,54990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9500, Octa Core Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 120W Fast Charging,"6.67 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 50 MP Front Camera,Memory Card Not Supported,Android v15,,12.0,256.0,6000.0,6.67,50.0,100.0,,Dimensity 9500,Dimensity 9500,0.5278,https://cdn1.smartprix.com/rx-i1txzkgCQ-w280-h280/vivo-x300.webp,Realme GT 7T (12GB RAM + 256GB),80,0
15,Oneplus 14R,79,4.05,49990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",6700 mAh Battery with 80W Fast Charging,"6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported,Android v16,,12.0,256.0,6700.0,6.78,32.0,150.0,4.32,Snapdragon 8 Elite,Snapdragon 8 Elite,0.2222,https://cdn1.smartprix.com/rx-inR10LURP-w280-h280/oneplus-14r.webp,Honor 200 (12GB RAM + 512GB),79,0
16,Xiaomi Redmi Note 16,79,4.4,18990,RUMORED,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 100W Fast Charging,"6.82 inches, 1080 x 2480 px, 120 Hz Display with Punch Hole",200 MP + 13 MP + 2 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v16,,8.0,128.0,5500.0,6.82,32.0,215.0,2.4,Dimensity 6300,Dimensity 6300,0.9167,https://cdn1.smartprix.com/rx-ikL65vtgs-w280-h280/xiaomi-redmi-note-16.webp,Honor 200 (12GB RAM + 512GB),79,0
17,Nokia Magic Max,78,4.0,49990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","16 GB RAM, 256 GB inbuilt",5000 mAh Battery with 67W Fast Charging,"6.7 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 13 MP Dual Rear & 32 MP Front Camera,,Android v13,,16.0,256.0,5000.0,6.7,32.0,121.0,3.2,Snapdragon 8+ Gen1,Snapdragon 8+ Gen1,0.0833,https://cdn1.smartprix.com/rx-iUkDr9lH9-w280-h280/nokia-magic-max.webp,Tecno Pova 6 Pro,78,0
18,Motorola Moto X60,78,4.15,54990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 150W Fast Charging,"6.82 inches, 1080 x 2400 px, 165 Hz Display",100 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,,Android v14,No FM Radio,12.0,256.0,5000.0,6.82,50.0,200.0,3.3,Snapdragon 8 Gen3,Snapdragon 8 Gen3,0.1389,https://cdn1.smartprix.com/rx-itxvoHD9R-w280-h280/motorola-moto-x60.webp,Tecno Pova 6 Pro,78,0
19,iQOO 15,78,4.1,69990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite 2, Octa Core Processor","12 GB RAM, 256 GB inbuilt",6700 mAh Battery with 150W Fast Charging,"6.84 inches, 1440 x 3168 px, 165 Hz Display with Punch Hole",50 MP Quad Rear & 50 MP Front Camera,,Android v16,No FM Radio,12.0,256.0,6700.0,6.84,50.0,50.0,,Snapdragon 8 Elite 2,Snapdragon 8 Elite 2,0.1944,https://cdn1.smartprix.com/rx-i4jBcSLjj-w280-h280/iqoo-15.webp,Tecno Pova 6 Pro,78,0
20,OnePlus 13 Pro,78,4.15,70990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Gen4, Octa Core Processor","12 GB RAM, 256 GB inbuilt",4800 mAh Battery with 200W Fast Charging,"6.78 inches, 1440 x 3412 px, 165 Hz Display with Punch Hole",200 MP + 50 MP + 48 MP Triple Rear & 32 MP Front Camera,,Android v14,No FM Radio,12.0,256.0,4800.0,6.78,32.0,298.0,,Snapdragon 8 Gen4,Snapdragon 8 Gen4,0.1111,https://cdn1.smartprix.com/rx-i0GMS7vc6-w280-h280/oneplus-13-pro.webp,Tecno Pova 6 Pro,78,0
21,Nokia Oxygen Ultra 5G,77,4.15,59990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 67W Fast Charging,"6.9 inches, 1400 x 3200 px, 120 Hz Display with Punch Hole",200 MP Penta Rear & 32 MP Front Camera,Memory Card Supported,Android v13,,12.0,256.0,5000.0,6.9,32.0,200.0,3.2,Snapdragon 8 Gen2,Snapdragon 8 Gen2,0.1667,https://cdn1.smartprix.com/rx-i0onBkURz-w280-h280/nokia-oxygen-ultra-5.webp,Google Pixel 9 Pro,77,0
22,Asus ROG Phone 10,77,4.45,99990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8 Elite 2, Octa Core Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.82 inches, 1080 x 2400 px Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,,Android v16,No FM Radio,12.0,256.0,6000.0,6.82,32.0,150.0,,Snapdragon 8 Elite 2,Snapdragon 8 Elite 2,0.1944,https://cdn1.smartprix.com/rx-izPLsFfVz-w280-h280/asus-rog-phone-10.webp,Google Pixel 9 Pro,77,0
23,Xiaomi Redmi Note 14 Pro Max,77,4.7,32990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7350 Pro, Octa Core Processor","8 GB RAM, 128 GB inbuilt",5200 mAh Battery with Fast Charging,"6.78 inches, 1080 x 2460 px, 144 Hz Display with Punch Hole",200 MP Quad Rear & 32 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v14,,8.0,128.0,5200.0,6.78,32.0,200.0,,Dimensity 7350 Pro,Dimensity 7350 Pro,0.7778,https://cdn1.smartprix.com/rx-i4IPozw8r-w280-h280/xiaomi-redmi-note-14.webp,Google Pixel 9 Pro,77,0
24,Samsung Galaxy M17 5G,76,4.0,18990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6400, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 25W Fast Charging,"6.67 inches, 1080 x 2408 px, 120 Hz Display with Punch Hole",50 MP + 13 MP + 2 MP Triple Rear & 16 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v16,,8.0,128.0,7000.0,6.67,16.0,65.0,,Dimensity 6400,Dimensity 6400,0.8889,https://cdn1.smartprix.com/rx-i2WUf3VQ1-w280-h280/samsung-galaxy-m17-5.webp,iQOO Z9s (12GB RAM + 256GB),76,0
25,Vivo X200 Mini,76,4.15,44990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9400, Octa Core, 3.63 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.31 inches, 1260 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Memory Card Not Supported,Android v15,,8.0,256.0,5000.0,6.31,50.0,150.0,3.63,Dimensity 9400,Dimensity 9400,0.5556,https://cdn1.smartprix.com/rx-ikxiZ0YpO-w280-h280/vivo-x200-mini.webp,iQOO Z9s (12GB RAM + 256GB),76,0
26,Infinix Note 15 Pro 5G,76,4.45,19990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 66W Fast Charging,"6.8 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",108 MP + 32 MP + 2 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 2 TB",Android v14,,8.0,128.0,5000.0,6.8,32.0,142.0,2.2,Dimensity 6100 Plus,Dimensity 6100 Plus,0.9444,https://cdn1.smartprix.com/rx-ijhihk546-w280-h280/infinix-note-15-pro.webp,iQOO Z9s (12GB RAM + 256GB),76,0
27,Motorola Moto Edge 60 Neo,75,4.3,27990,RUMORED,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 7400x, Octa Core Processor","8 GB RAM, 256 GB inbuilt",4700 mAh Battery with 80W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 32 MP Triple Rear & 32 MP Front Camera,,Android v15,No FM Radio,8.0,256.0,4700.0,6.67,32.0,132.0,,Dimensity 7400x,Dimensity 7400x,0.7222,https://cdn1.smartprix.com/rx-iChh8h2Bv-w280-h280/motorola-moto-edge-6.webp,Samsung Galaxy M55 (12GB RAM + 256GB),75,0
