Name,SpecScore,rating,price,tag,sim,processor,storage,battery,display,camera,memoryExternal,version,fm,RAM_GB,Storage_GB,Battery_mAh,Screen_inches,FrontCamera_MP,BackCamera_MP,Processor_Speed_GHz,Processor_Name,Processor_Name_Cleaned,ProcessorScore,img
Xiaomi Redmi Turbo 3,68,4.3,23990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 90W Fast Charging,"6.67 inches, 1220 x 2712 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,,Android v14,No FM Radio,12.0,256.0,5000.0,6.67,20.0,58.0,3.0,Snapdragon 8s Gen3,Snapdragon 8s Gen3,0.1596,https://cdn1.smartprix.com/rx-iZUoxjt9u-w280-h280/xiaomi-redmi-turbo-3.webp
Apple iPhone 17 Air,68,4.0,79990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Apple, Octa Core Processor","8 GB RAM, 128 GB inbuilt",3000 mAh Battery with Fast Charging,"6.1 inches, 1200 x 2600 px Display with Small Notch",12 MP + 12 MP Dual Rear & 24 MP Front Camera,Memory Card Not Supported,iOS v26,,8.0,128.0,3000.0,6.1,24.0,24.0,,Apple,Apple,1.0,https://cdn1.smartprix.com/rx-iv7kdkTX4-w280-h280/apple-iphone-17-air.webp
iQOO Z9 Turbo Endurance Edition,68,4.25,22990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",6400 mAh Battery with 80W Fast Charging,"6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,,Android v15,No FM Radio,12.0,256.0,6400.0,6.78,16.0,58.0,3.0,Snapdragon 8s Gen3,Snapdragon 8s Gen3,0.1596,https://cdn1.smartprix.com/rx-iAYJY12ey-w280-h280/iqoo-z9-turbo-endura.webp
Oppo Reno 14F,68,4.0,34990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.57 inches, 1080 x 2372 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Memory Card Supported,Android v15,,8.0,256.0,6000.0,6.57,32.0,60.0,2.2,Snapdragon 6 Gen1,Snapdragon 6 Gen1,0.4362,https://cdn1.smartprix.com/rx-iTvelPVTP-w280-h280/oppo-reno-14f.webp
Nubia Focus 2 Ultra 5G,68,4.25,27990,UPCOMING,"Dual Sim, 3G, 4G, 5G, Wi-Fi, NFC","Unisoc T760, Octa Core, 2.2 GHz Processor","8 GB RAM, 512 GB inbuilt",5500 mAh Battery with 33W Fast Charging,"6.8 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + Ultra Wide Triple Rear & 32 MP Front Camera,,Android v15,,8.0,512.0,5500.0,6.8,32.0,50.0,2.2,Unisoc T760,Unisoc T760,0.0532,https://cdn1.smartprix.com/rx-iNKHT49ih-w280-h280/nubia-focus-2-ultra.webp
Infinix Note 50,68,4.5,14990,UPCOMING,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC, IR Blaster","Helio G100, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5200 mAh Battery with 45W Fast Charging,"6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 13 MP Front Camera,"Memory Card Supported, upto 2 TB",Android v15,,8.0,256.0,5200.0,6.78,13.0,52.0,2.2,Helio G100,Helio G100,0.6702,https://cdn1.smartprix.com/rx-i3UB9f5ZP-w280-h280/infinix-note-50.webp
Infinix GT 30,68,4.55,15999,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7400, Octa Core Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.7 inches, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 8 MP Front Camera,Memory Card Supported,Android v15,,8.0,128.0,5000.0,6.7,8.0,58.0,,Dimensity 7400,Dimensity 7400,0.8723,https://cdn1.smartprix.com/rx-ibZUqkjq4-w280-h280/infinix-gt-30.webp
Poco C75 (8GB RAM + 256GB),68,4.3,10990,UPCOMING,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","Helio G81 Ultra, Octa Core, 2 GHz Processor","8 GB RAM, 256 GB inbuilt",5160 mAh Battery with 18W Fast Charging,"6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP + Auxiliary lens Dual Rear & 13 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v14,,8.0,256.0,5160.0,6.88,13.0,50.0,2.0,Helio G81 Ultra,Helio G81 Ultra,0.617,https://cdn1.smartprix.com/rx-iI6T9DcsM-w280-h280/poco-c75-8gb-ram-256.webp
OnePlus 13 Mini,68,4.55,49990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","8 GB RAM, 256 GB inbuilt",6200 mAh Battery with 80W Fast Charging,"6.31 inches, 1440 x 3168 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 32 MP Front Camera,Memory Card Not Supported,Android v15,,8.0,256.0,6200.0,6.31,32.0,100.0,4.32,Snapdragon 8 Elite,Snapdragon 8 Elite,0.266,https://cdn1.smartprix.com/rx-ih0MtdymS-w280-h280/oneplus-13-mini.webp
Vertu Ironflip,68,4.45,489990,UPCOMING,"Dual Sim, 3G, 4G, 5G, Wi-Fi, NFC","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",4310 mAh Battery with 65W Fast Charging,"6.7 inches, 2790 x 1188 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,,Android v13,,12.0,256.0,4310.0,6.7,16.0,52.0,3.2,Snapdragon 8 Gen2,Snapdragon 8 Gen2,0.234,https://cdn1.smartprix.com/rx-iDaa1lB9k-w280-h280/vertu-ironflip.webp
